"X15MIN"	"X30MIN"	"X1HR"	"X2HR"	"X4HR"	"X6HR"	"X8HR"	"X12HR"	"X16HR"	"X20HR"	"X24HR"
"195"	-0.43	-0.23	-0.12	-0.36	-1.47	-1.47	-1.84	-1.84	-0.18	-0.01	-0.14
"196"	-0.15	-0.14	-0.07	-0.22	-0.69	-0.94	-1.22	-1.4	-0.09	0.3	0.18
"197"	-0.17	0.06	0.1	0.01	-0.56	-0.84	-1.25	-1.4	-0.34	-0.27	-0.04
"198"	-0.2	0.3	0.19	-0.17	-0.54	-0.67	-0.79	-1.03	-0.18	-0.04	0.32
"199"	-0.42	-0.03	-0.14	-0.51	-1.22	-1.32	-1.32	-1.18	-0.42	-0.38	-0.36
"200"	-0.03	0.4	0.15	0.1	-0.81	-1.18	-0.97	-1.18	-0.29	-0.4	0.04
"201"	-0.64	0.58	0.07	-0.06	-0.56	-0.6	-0.76	-0.34	-0.23	0.21	0.38
"202"	0.24	-0.79	-0.62	-0.25	-1.03	-1.69	-2.25	-2.56	-0.45	0.25	0.5
"203"	-0.1	-0.84	-0.47	-0.22	-0.67	-1.56	-2.32	-1.89	-0.51	0.41	0.58
"204"	0.11	-0.29	-0.14	0.23	-0.6	-1.03	-1.25	-0.97	-0.1	0.3	0.69
"205"	-0.4	0.1	0.01	-0.42	-0.74	-1.4	-1.69	-1.84	-0.2	0.06	0.45
"206"	0.01	-0.34	-0.12	-0.3	-0.89	-1.25	-1.43	-1.64	-0.32	0.3	0.1
"207"	-0.2	-0.47	-0.29	-0.06	-0.84	-1.12	-0.86	-1.4	-0.06	-0.06	0.23
"208"	0.19	-0.38	-0.12	0.14	-0.71	-0.89	-0.6	-1	0.01	0.07	0.21
"209"	-0.18	-0.29	-0.22	-0.27	-0.84	-1.36	-0.84	-1.03	-0.27	-0.04	0.32
"210"	-0.01	-0.69	-0.58	-0.56	-0.71	-1.32	-1.84	-1.89	-0.17	-0.1	0.2
"211"	-0.38	-0.79	-0.67	-0.56	-0.79	-1.43	-1.64	-1.43	-0.86	-0.62	-0.47
"212"	-1.09	-1.94	-1.36	-0.79	-2.56	-2.64	-2.84	-2.4	-0.76	-0.43	-0.15
"213"	-0.27	-1.15	-1.03	-0.38	-0.94	-1.32	-1.69	-1.43	-0.67	-0.49	-0.18
"214"	-0.1	-1	-0.51	-0.15	-0.86	-1.09	-1.18	-1.25	-0.4	-0.36	0.04
"215"	-0.56	-0.71	-0.38	-0.22	-0.69	-1.03	-1.25	-0.89	-0.15	-0.18	-0.1
"216"	-0.58	-0.89	-0.92	-0.36	-0.97	-1.12	-1.32	-1.25	-0.25	-0.49	-0.36
"217"	-0.79	-1.56	-0.97	-0.89	-1.29	-2.12	-2.06	-2.06	-0.81	-1	-0.76
"218"	-0.15	-0.49	0.03	0.08	-0.38	-1.06	-1.09	-0.92	0.37	-0.2	-0.09
"219"	0.71	0.03	0.62	0.25	0.18	-0.49	-0.54	-0.69	0.59	0.31	0.82
"220"	0.07	-0.49	-0.32	-0.56	-0.51	-0.76	-0.92	-0.76	0.01	-0.01	-0.06
"221"	0.1	0.78	0.28	-0.38	-0.2	-0.14	-0.74	-0.09	0.11	-0.01	0.08
"222"	-0.17	0	0.28	-0.38	0.28	-1.03	-1.18	-0.67	0.06	-0.29	0.37
"223"	-0.67	-0.17	-0.09	-0.81	-0.27	-0.92	-1.79	-1.12	-0.4	-0.74	-0.43
"224"	0.23	-0.4	-0.17	0.04	-0.42	-0.4	-0.74	-0.86	-0.04	-0.25	0.3
"225"	0.32	0.12	0.07	0.4	-0.18	-0.45	-0.51	-0.67	0.07	0.39	0.66
"226"	-0.34	-0.86	-0.43	-0.06	-0.84	-0.81	-1.47	-0.94	-0.43	-0.27	-0.2
"227"	0.2	0.5	-0.12	0.12	-0.43	-1	-1.06	-0.38	-0.17	-0.23	0
"228"	0.06	0.03	-0.01	0.12	-0.67	-1.18	-0.67	-0.38	-0.09	-0.06	-0.04
"229"	0.12	0.12	-0.03	0.56	-0.42	-0.97	-0.86	-1.51	-0.49	0	0.2
"230"	-0.23	-0.25	-0.56	0.14	-1.29	-1.36	-0.79	-1.36	-0.32	-0.29	-0.23
"231"	-0.1	-0.38	-0.36	-0.49	-0.49	-0.6	-1.12	-0.69	-0.86	-0.17	0.29
"232"	-0.62	-0.04	0.15	-0.34	-0.69	-1.43	-1.29	-0.6	0	0	0.14
"233"	-0.79	-0.18	-0.38	-1.36	-1.29	-1.94	-1.74	-1.79	-0.51	-0.25	0.04
"234"	0.01	-0.06	-0.06	0.25	-0.86	-2.18	-3.32	-2.47	-0.34	-0.04	0.1
"235"	0.06	-0.2	-0.23	-0.34	-1.51	-2.4	-2.32	-1.84	-0.45	-0.47	-0.34
"236"	0.15	0.03	0.07	-0.06	-0.92	-1.79	-1.4	-1.09	-0.18	-0.34	0.03
"237"	0.41	0.01	0.08	0.23	-0.51	-1.64	-1.43	-1.43	-0.34	0.08	0.23
"238"	-0.07	0.31	-0.07	0.23	-1.18	-1.74	-1.36	-0.97	-0.49	-0.42	-0.22
"239"	-0.01	0.03	0.07	0.19	-0.76	-1.56	-1.43	-1.12	-0.54	-0.81	-0.25
"240"	-0.06	0.49	0.2	-0.23	-1	-1.47	-0.79	-0.94	0.33	0.36	0.36
"241"	0	0.33	-0.3	-0.15	-0.81	-0.94	-0.97	-0.94	-0.15	-0.51	-0.25
"242"	-0.6	-0.58	0.04	-0.25	-1.03	-0.43	-1.15	-1.06	-0.34	-0.43	-0.76
"243"	-0.3	-0.74	-0.22	-0.58	-1.22	-0.64	-1	-1.06	-0.51	-0.42	-0.3
"244"	0.06	-0.23	0.3	-0.06	-1.12	-0.69	-0.6	-1.09	0.11	-0.14	-0.14
